Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
D3D75AB3-CF06-DE31-41E2-FCB5265698C5,"ADDR_CITY",1,,LOGDT024,752,40 CHAR,,,VARCHAR,VARCHAR,
29C78BE9-0C82-9E33-1C53-50642ACEB50C,"ADDR_COUNTRY_ISO_3166_2",2,,LOGDT024,752,2 CHAR,,,VARCHAR,VARCHAR,
0F684EAE-63C4-56F2-EE06-2F5CD2C5FFFE,"ADDR_COUNTRY_ISO_3166_3",3,,LOGDT024,752,3 CHAR,,,VARCHAR,VARCHAR,
4E9D0DC5-A386-12CC-368A-5C62FD6B9878,"ADDR_COUNTRY_ISO_3166_NUMERIC",4,,LOGDT011,717,3 CHAR,,,INTEGER,Integer,
B6E6DC5E-96E1-7032-8356-78B9B78B0566,"ADDR_COUNTRY_NAME",5,,LOGDT024,752,80 CHAR,,,VARCHAR,VARCHAR,
5AC35645-6165-4B4A-1C1A-04C57339755E,"ADDR_FORMAT",6,,LOGDT019,724,3 CHAR,3,0,NUMERIC,NUMERIC,
B3CD992D-8D29-42ED-E95E-821C646B7E57,"ADDR_LINE1",7,,LOGDT024,752,80 CHAR,,,VARCHAR,VARCHAR,
F70A18E3-4B6B-5759-8DE0-04EE910D446F,"ADDR_LINE2",8,,LOGDT024,752,80 CHAR,,,VARCHAR,VARCHAR,
843F72A5-5ECF-707F-EF31-96882E6510A5,"ADDR_LINE3",9,,LOGDT024,752,80 CHAR,,,VARCHAR,VARCHAR,
ADC6C7DB-B356-FCA5-F3CC-CCC5DF425FF9,"ADDR_POBOX",10,,LOGDT024,752,50 CHAR,,,VARCHAR,VARCHAR,
0BAC0A41-DFBE-77B1-928C-7B9AC6A0E14A,"ADDR_STATE_ISO_3166_2",11,,LOGDT024,752,5 CHAR,,,VARCHAR,VARCHAR,
59172B77-991C-BFCB-4D85-6AEC085A63F3,"ADDR_STATE_ISO_3166_3",12,,LOGDT024,752,3 CHAR,,,VARCHAR,VARCHAR,
AE664401-70D6-4AA2-6D28-A209FB70FD7E,"ADDR_STATE_NAME",13,,LOGDT024,752,80 CHAR,,,VARCHAR,VARCHAR,
80582C65-B3A5-FF9D-7E95-B2FBDA2F7137,"ADDR_STREET",14,,LOGDT024,752,80 CHAR,,,VARCHAR,VARCHAR,
A0BC67A3-4293-AD0D-DEDF-B16C6278127C,"ADDR_TYPE",15,,LOGDT024,752,20 CHAR,,,VARCHAR,VARCHAR,
220003DE-149F-DE71-2A43-FEB8BB91E0BD,"AIRPORT_ATA_CODE",16,,LOGDT024,752,20 CHAR,,,VARCHAR,VARCHAR,
E8D41730-B3B3-3903-1A3A-3BA45F85D128,"AIRPORT_IAC_CODE",17,,LOGDT024,752,20 CHAR,,,VARCHAR,VARCHAR,
BEC50409-051C-D195-0F54-C3DD4EA1122C,"AMOUNT_19_2",18,,LOGDT026,708,19 BYTE,19,2,DECIMAL,DECIMAL,
BC305B96-B83C-3C3E-DF6E-6A5CC57F964C,"AMOUNT_19_5",19,,LOGDT026,708,19 BYTE,19,5,DECIMAL,DECIMAL,
F58A3DAE-5C14-1CC4-E73E-252A7BBF16A4,"AMOUNT_19_7",20,,LOGDT026,708,19 BYTE,19,7,DECIMAL,DECIMAL,
B1CDA6AB-690D-A338-FA29-19AC7749635E,"AMOUNT_HH_MM",21,"12345,22 - hhhhh,mm",LOGDT017,691,9 BYTE,9,2,UNKNOWN,unknown,
E7FB69E3-D50C-0E45-2B11-65FD09291972,"AMOUNT_PER_CENT_5_2",22,,LOGDT026,708,7 CHAR,7,2,DECIMAL,DECIMAL,
5C57FBB7-DF76-D6D7-3063-6F1469AE77D7,"CLASS_BILL",23,,LOGDT017,691,2 CHAR,,,UNKNOWN,unknown,
EF781437-947D-88EA-7206-97E043924351,"CLASS_COMPETITOR",24,,LOGDT017,691,20,,,UNKNOWN,unknown,
