Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name,Usage
ADDR_CITY,1,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
ADDR_COUNTRY_ISO_3166_2,2,,LOGDT024,752,2,,,VARCHAR,VARCHAR,
ADDR_COUNTRY_ISO_3166_3,3,,LOGDT024,752,3,,,VARCHAR,VARCHAR,
ADDR_COUNTRY_ISO_3166_NUMERIC,4,,LOGDT011,717,3,,,INTEGER,Integer,
ADDR_COUNTRY_NAME,5,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
ADDR_FORMAT,6,,LOGDT019,724,3,3,0,NUMERIC,NUMERIC,
ADDR_LINE1,7,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
ADDR_LINE2,8,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
ADDR_LINE3,9,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
ADDR_POBOX,10,,LOGDT024,752,50,,,VARCHAR,VARCHAR,
ADDR_STATE_ISO_3166_2,11,,LOGDT024,752,5,,,VARCHAR,VARCHAR,
ADDR_STATE_ISO_3166_3,12,,LOGDT024,752,3,,,VARCHAR,VARCHAR,
ADDR_STATE_NAME,13,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
ADDR_STREET,14,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
ADDR_TYPE,15,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
AIRPORT_ATA_CODE,16,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
AIRPORT_IAC_CODE,17,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
AMOUNT_19_2,18,,LOGDT026,708,19,19,2,DECIMAL,DECIMAL,
AMOUNT_19_5,19,,LOGDT026,708,19,19,5,DECIMAL,DECIMAL,
AMOUNT_19_7,20,,LOGDT026,708,19,19,7,DECIMAL,DECIMAL,
AMOUNT_HH_MM,21,"12345,22 - hhhhh,mm",LOGDT017,691,9,9,2,UNKNOWN,unknown,
AMOUNT_PER_CENT_5_2,22,,LOGDT026,708,7,7,2,DECIMAL,DECIMAL,
CLASS_BILL,23,,LOGDT017,691,2,,,UNKNOWN,unknown,
CLASS_COMPETITOR,24,,LOGDT017,691,20,,,UNKNOWN,unknown,
CLASS_CUSTOMER,25,,LOGDT017,691,20,,,UNKNOWN,unknown,
CLASS_EMPLOYEE,26,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
CLASS_GROUP,27,,LOGDT017,691,20,,,UNKNOWN,unknown,
CLASS_INCIDENT_SOURCE,28,,LOGDT017,691,20,,,UNKNOWN,unknown,
CLASS_PART,29,,LOGDT017,691,20,,,UNKNOWN,unknown,
CLASS_PROSPECT,30,,LOGDT017,691,20,,,UNKNOWN,unknown,
CLASS_VENDOR,31,,LOGDT017,691,20,,,UNKNOWN,unknown,
CODE_AIRLINE,32,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
COMM_EMAIL,33,,LOGDT024,752,50,,,VARCHAR,VARCHAR,
COMM_FAX,34,,LOGDT024,752,30,,,VARCHAR,VARCHAR,
COMM_MOBILE,35,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
COMM_PHONE,36,,LOGDT024,752,30,,,VARCHAR,VARCHAR,
COMM_PHONE_DIAL,37,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
COMM_TYPE,38,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
COMM_WEB,39,,LOGDT024,752,120,,,VARCHAR,VARCHAR,
COUNT_13_0,40,,LOGDT026,708,13,13,0,DECIMAL,DECIMAL,
COUNT_13_2,41,,LOGDT026,708,13,13,2,DECIMAL,DECIMAL,
COUNT_PASSENGER_9_0,42,,LOGDT026,708,9,9,0,DECIMAL,DECIMAL,
CURRENCY,43,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
CURRENCY_ISO_4217,44,,LOGDT024,752,3,,,VARCHAR,VARCHAR,
CURRENCY_ISO_4217_MINOR,45,,LOGDT019,724,2,,,NUMERIC,NUMERIC,
CURRENCY_ISO_4217_NUMERIC,46,,LOGDT011,717,3,,,INTEGER,Integer,
DESC,47,,LOGDT024,752,7000,,,VARCHAR,VARCHAR,
DESC_120,48,,LOGDT024,752,120,,,VARCHAR,VARCHAR,
DESC_20,49,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
DESC_480,50,,LOGDT024,752,480,,,VARCHAR,VARCHAR,
DESC_80,51,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
DG_APPROVALS,52,,LOGDT024,752,1,,,VARCHAR,VARCHAR,
DG_DOMAIN,53,,LOGDT024,752,2,,,VARCHAR,VARCHAR,
DG_ROLE,54,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
DG_ROLE_SEQ,55,,LOGDT011,717,3,,,INTEGER,Integer,
DIM_AREA,56,,LOGDT017,691,13,13,2,UNKNOWN,unknown,
