Attribute_Name,Mandatory,Num_Domain_ID,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Entity_Name,PK_Flag,FK_Flag,Sequence,T_Size,T_Precision,T_Scale,Data_Source
ABBR_BU,Y,343,N,ORG_BU_ABBR,VARCHAR,HR_FO_BUSINESS_UNIT,,,3,20,,,
ABBR_COMPANY,Y,346,N,ORG_CMPY_ABBR,VARCHAR,HR_FO_COMPANY,,,2,20,,,
ABBR_DEPT,Y,352,N,ORG_DPT_ABBR,VARCHAR,HR_FO_DEPARTMENT,,,4,20,,,
ABBR_DIV,Y,349,Y,ORG_DIV_ABBR,VARCHAR,HR_FO_DIVISION,,,4,20,,,
active,Y,282,Y,KEY_ACTIVE,VARCHAR,CITD_DATE,,,20,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP_EVENT,,,9,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP_JOB,,,25,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP_ADDR_WORK,,,9,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP_BANK_ACC_TRANSIT,,,8,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_FO_COMPANY,,,11,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP,,,21,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP_BANK_INFO_HISTORY,,,8,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_HOLIDAYS,,,7,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP_MGR,,,9,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP_EVENT_REASON,,,11,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP_ADDR_PERSONAL_HISTORY,,,9,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_FO_BUSINESS_UNIT,,,11,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP_PERSONAL,,,18,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP_GENDER,,,9,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP_time,,,8,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP_CLASS,,,9,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_Holiday_Calendar,,,7,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_FO_COST_CENTER,,,9,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP_BANK_INFO,,,10,1,,,
active,N,282,Y,KEY_ACTIVE,VARCHAR,HR_EMP_STATUS,,,9,1,,,
